"","temperatura","fechas"
"552",21.2,2021-07-05
"553",21.7,2021-07-06
"554",23.6,2021-07-07
"555",26.9,2021-07-08
"556",30,2021-07-09
"557",31.7,2021-07-10
"558",25.3,2021-07-11
"559",22.5,2021-07-12
"560",23.6,2021-07-13
"561",25.3,2021-07-14
"562",28.8,2021-07-15
"563",31,2021-07-16
"564",31.5,2021-07-17
"565",30.3,2021-07-18
"566",30.7,2021-07-19
"567",30.6,2021-07-20
"568",31.3,2021-07-21
"569",29.3,2021-07-22
"570",26.7,2021-07-23
"571",26.8,2021-07-24
"572",25.3,2021-07-25
"573",27.6,2021-07-26
"574",29.5,2021-07-27
"575",29.7,2021-07-28
"576",29.1,2021-07-29
"577",24.5,2021-07-30
"578",22.2,2021-07-31
"579",24.9,2021-08-01
"580",26.3,2021-08-02
"581",27.5,2021-08-03
"582",29,2021-08-04
"583",28.2,2021-08-05
"584",25.6,2021-08-06
"585",26.1,2021-08-07
"586",27.9,2021-08-08
"587",30,2021-08-09
"588",32.1,2021-08-10
"589",31.6,2021-08-11
"590",34,2021-08-12
"591",35.3,2021-08-13
"592",34.1,2021-08-14
"593",31.3,2021-08-15
"594",27.1,2021-08-16
"595",28,2021-08-17
"596",28.4,2021-08-18
"597",28.5,2021-08-19
"598",29.6,2021-08-20
"599",30.6,2021-08-21
"600",30.6,2021-08-22
"601",27.7,2021-08-23
"602",26.2,2021-08-24
"603",27.8,2021-08-25
"604",29.4,2021-08-26
"605",28.7,2021-08-27
"606",27.5,2021-08-28
"607",26.4,2021-08-29
"608",27.2,2021-08-30
"609",21.2,2021-08-31
"610",21.1,2021-09-01
"611",24.1,2021-09-02
"612",26,2021-09-03
"613",27.1,2021-09-04
"614",27,2021-09-05
"615",27.6,2021-09-06
"616",24.3,2021-09-07
"617",23.5,2021-09-08
"618",22.2,2021-09-09
"619",0,2021-09-10
"620",0,2021-09-11
"621",0,2021-09-12
"622",0,2021-09-13
"623",0,2021-09-14
"624",0,2021-09-15
"625",0,2021-09-16
"626",0,2021-09-17
"627",0,2021-09-18
"628",0,2021-09-19
"629",0,2021-09-20
"630",0,2021-09-21
"631",0,2021-09-22
"632",0,2021-09-23
"633",0,2021-09-24
"634",0,2021-09-25
"635",0,2021-09-26
"636",0,2021-09-27
"637",24.8,2021-09-28
"638",0,2021-09-29
"639",21.2,2021-09-30
"640",21.5,2021-10-01
"641",16.8,2021-10-02
"642",16.1,2021-10-03
"643",18.2,2021-10-04
"644",20.9,2021-10-05
"645",21.6,2021-10-06
"646",22.5,2021-10-07
"647",20.8,2021-10-08
"648",19.5,2021-10-09
"649",19.5,2021-10-10
"650",20.6,2021-10-11
"651",20.2,2021-10-12
"652",19.7,2021-10-13
"653",20.3,2021-10-14
"654",18.1,2021-10-15
"655",19.8,2021-10-16
"656",20.6,2021-10-17
"657",21.2,2021-10-18
"658",20.2,2021-10-19
"659",19.2,2021-10-20
"660",16.8,2021-10-21
"661",16.6,2021-10-22
"662",16.8,2021-10-23
"663",17.2,2021-10-24
"664",17.5,2021-10-25
"665",17.5,2021-10-26
"666",17.2,2021-10-27
"667",14.2,2021-10-28
"668",15.7,2021-10-29
"669",16.2,2021-10-30
"670",15.9,2021-10-31
"671",11.7,2021-11-01
"672",10.9,2021-11-02
"673",11,2021-11-03
"674",11.7,2021-11-04
"675",10.9,2021-11-05
"676",11.3,2021-11-06
"677",14.5,2021-11-07
"678",14.8,2021-11-08
"679",13.6,2021-11-09
"680",14,2021-11-10
"681",15.1,2021-11-11
"682",15,2021-11-12
"683",14.4,2021-11-13
"684",13.9,2021-11-14
"685",12.5,2021-11-15
"686",12,2021-11-16
"687",10.9,2021-11-17
"688",12.6,2021-11-18
"689",12.4,2021-11-19
"690",12.7,2021-11-20
"691",8.5,2021-11-21
"692",6.4,2021-11-22
"693",7.4,2021-11-23
"694",8.4,2021-11-24
"695",7.6,2021-11-25
"696",7.3,2021-11-26
"697",11.3,2021-11-27
"698",11.2,2021-11-28
"699",0,2021-11-29
"700",8.6,2021-11-30
"701",9.9,2021-12-01
"702",10.5,2021-12-02
"703",10,2021-12-03
"704",10.2,2021-12-04
"705",11.1,2021-12-05
"706",9.1,2021-12-06
"707",8.4,2021-12-07
"708",9.4,2021-12-08
"709",11.5,2021-12-09
"710",14.3,2021-12-10
"711",13.1,2021-12-11
"712",12.2,2021-12-12
"713",13.3,2021-12-13
"714",14.5,2021-12-14
"715",11.8,2021-12-15
"716",11.2,2021-12-16
"717",10.2,2021-12-17
"718",10.6,2021-12-18
"719",9.8,2021-12-19
"720",11.9,2021-12-20
"721",12.3,2021-12-21
"722",10.9,2021-12-22
"723",11.1,2021-12-23
"724",9.8,2021-12-24
"725",10.1,2021-12-25
"726",13,2021-12-26
"727",12.5,2021-12-27
"728",12.3,2021-12-28
"729",13.7,2021-12-29
"730",14.3,2021-12-30
"731",12.1,2021-12-31
"732",11.4,2022-01-01
"733",10.9,2022-01-02
"734",8,2022-01-03
"735",6.4,2022-01-04
"736",5.5,2022-01-05
"737",6.1,2022-01-06
"738",4.2,2022-01-07
"739",9.3,2022-01-08
"740",12.4,2022-01-09
"741",11.4,2022-01-10
"742",8.6,2022-01-11
"743",6.4,2022-01-12
"744",5.6,2022-01-13
"745",5.3,2022-01-14
"746",5.5,2022-01-15
"747",6.8,2022-01-16
"748",7.6,2022-01-17
"749",8,2022-01-18
"750",8.2,2022-01-19
"751",6.2,2022-01-20
"752",6,2022-01-21
"753",6.6,2022-01-22
"754",7.1,2022-01-23
"755",8.4,2022-01-24
"756",7.3,2022-01-25
"757",8.8,2022-01-26
"758",9.4,2022-01-27
"759",9.9,2022-01-28
"760",10.6,2022-01-29
"761",9.7,2022-01-30
"762",11.1,2022-01-31
"763",12.7,2022-02-01
"764",11.2,2022-02-02
"765",10.6,2022-02-03
"766",10.5,2022-02-04
"767",9.2,2022-02-05
"768",10.9,2022-02-06
"769",11.2,2022-02-07
"770",11.1,2022-02-08
"771",10.8,2022-02-09
"772",12.1,2022-02-10
"773",11.6,2022-02-11
"774",9.9,2022-02-12
"775",8.7,2022-02-13
"776",8.6,2022-02-14
"777",10.2,2022-02-15
"778",12,2022-02-16
"779",13.2,2022-02-17
"780",10.1,2022-02-18
"781",9.2,2022-02-19
"782",12.3,2022-02-20
"783",13.7,2022-02-21
"784",13.1,2022-02-22
"785",12.3,2022-02-23
"786",9,2022-02-24
"787",8.6,2022-02-25
"788",10.4,2022-02-26
"789",12,2022-02-27
"790",12.5,2022-02-28
"791",12.7,2022-03-01
"792",8.9,2022-03-02
"793",9.2,2022-03-03
"794",8.7,2022-03-04
"795",8,2022-03-05
"796",7.5,2022-03-06
"797",8.8,2022-03-07
"798",9.5,2022-03-08
"799",11.2,2022-03-09
"800",9.2,2022-03-10
"801",9,2022-03-11
"802",10.5,2022-03-12
"803",9.2,2022-03-13
"804",14.3,2022-03-14
"805",13.5,2022-03-15
"806",10.9,2022-03-16
"807",10.6,2022-03-17
"808",10.9,2022-03-18
"809",11.1,2022-03-19
"810",10.1,2022-03-20
"811",9.4,2022-03-21
"812",9.2,2022-03-22
"813",9.4,2022-03-23
"814",10.3,2022-03-24
"815",10.1,2022-03-25
"816",11.9,2022-03-26
"817",12.3,2022-03-27
"818",13.4,2022-03-28
"819",11.2,2022-03-29
"820",9.8,2022-03-30
"821",7.5,2022-03-31
"822",6.2,2022-04-01
"823",6.1,2022-04-02
"824",5.9,2022-04-03
"825",7,2022-04-04
"826",9.9,2022-04-05
"827",14,2022-04-06
"828",12,2022-04-07
"829",13.8,2022-04-08
"830",16.5,2022-04-09
"831",16.2,2022-04-10
"832",11.3,2022-04-11
"833",13.6,2022-04-12
"834",16.3,2022-04-13
"835",18.6,2022-04-14
"836",20.3,2022-04-15
"837",20.2,2022-04-16
"838",20.1,2022-04-17
"839",14.8,2022-04-18
"840",8.7,2022-04-19
"841",12,2022-04-20
"842",8.8,2022-04-21
"843",8.1,2022-04-22
"844",12.4,2022-04-23
"845",15.2,2022-04-24
"846",15.6,2022-04-25
"847",13.4,2022-04-26
"848",13.1,2022-04-27
"849",18.5,2022-04-28
"850",0,2022-04-29
"851",20.4,2022-04-30
"852",15.4,2022-05-01
"853",13.3,2022-05-02
"854",15.5,2022-05-03
"855",17.5,2022-05-04
"856",17.7,2022-05-05
"857",18.1,2022-05-06
"858",20.7,2022-05-07
"859",21.8,2022-05-08
"860",22.6,2022-05-09
"861",23.7,2022-05-10
"862",22.7,2022-05-11
"863",23.6,2022-05-12
"864",23,2022-05-13
"865",21,2022-05-14
"866",21.1,2022-05-15
"867",22.7,2022-05-16
"868",25.4,2022-05-17
"869",27,2022-05-18
"870",26.7,2022-05-19
"871",27.5,2022-05-20
"872",24.1,2022-05-21
"873",21.8,2022-05-22
"874",18.5,2022-05-23
"875",16.4,2022-05-24
"876",19.3,2022-05-25
"877",24.1,2022-05-26
"878",25.9,2022-05-27
"879",25.2,2022-05-28
"880",20.3,2022-05-29
"881",22.8,2022-05-30
"882",24,2022-05-31
"883",23.1,2022-06-01
"884",22.9,2022-06-02
"885",21.8,2022-06-03
"886",22.9,2022-06-04
"887",24.8,2022-06-05
"888",26.2,2022-06-06
"889",25,2022-06-07
"890",26.3,2022-06-08
"891",28,2022-06-09
"892",30,2022-06-10
"893",29.5,2022-06-11
"894",30.7,2022-06-12
"895",32,2022-06-13
"896",32,2022-06-14
"897",31.6,2022-06-15
"898",31,2022-06-16
"899",32,2022-06-17
"900",23.9,2022-06-18
"901",22.7,2022-06-19
"902",22,2022-06-20
"903",19.8,2022-06-21
"904",19.9,2022-06-22
"905",20.9,2022-06-23
"906",21.7,2022-06-24
"907",22.7,2022-06-25
"908",22.7,2022-06-26
"909",25.9,2022-06-27
"910",24.5,2022-06-28
"911",0,2022-06-29
"912",24.4,2022-06-30
"913",28.4,2022-07-01
"914",29,2022-07-02
"915",28.5,2022-07-03
"916",29.4,2022-07-04
"917",25.8,2022-07-05
"918",24.9,2022-07-06
"919",26.8,2022-07-07
"920",29.9,2022-07-08
"921",31.2,2022-07-09
"922",31.3,2022-07-10
"923",31.8,2022-07-11
"924",32.6,2022-07-12
"925",34.4,2022-07-13
"926",33.1,2022-07-14
"927",32.9,2022-07-15
"928",33,2022-07-16
"929",32.5,2022-07-17
"930",29.5,2022-07-18
"931",29.5,2022-07-19
"932",31.2,2022-07-20
"933",31.2,2022-07-21
"934",30.7,2022-07-22
"935",30.9,2022-07-23
